[/player int32:0, float32:-3637.79, float32:6527.17, float32:4410.59, bool:false, float32:63610, float32:38657, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3639.07, float32:6556.08, float32:4460.03, bool:false, float32:63628, float32:39360, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3640.79, float32:6587.17, float32:4515.94, bool:false, float32:63672, float32:40084, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3642.53, float32:6613.68, float32:4565.9, bool:false, float32:63732, float32:40807, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3644.5, float32:6639.78, float32:4617.54, bool:false, float32:63787, float32:41554, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3646.72, float32:6666.28, float32:4672.76, bool:false, float32:63838, float32:42325, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3648.72, float32:6688.11, float32:4720.48, bool:false, float32:63889, float32:43096, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3650.87, float32:6710.09, float32:4771.02, bool:false, float32:63940, float32:43867, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3653.26, float32:6733.36, float32:4827.62, bool:false, float32:63991, float32:44638, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3655.27, float32:6752.32, float32:4876.17, bool:false, float32:64042, float32:45409, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3657.26, float32:6770.87, float32:4926.28, bool:false, float32:64093, float32:46180, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3659.35, float32:6790.53, float32:4982.62, bool:false, float32:64144, float32:46653, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3661.04, float32:6806.85, float32:5032.06, bool:false, float32:64195, float32:47424, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3662.56, float32:6822.39, float32:5081.86, bool:false, float32:64246, float32:47897, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3663.93, float32:6837.76, float32:5134.18, bool:false, float32:64297, float32:48668, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3665.57, float32:6859.56, float32:5214.35, bool:false, float32:64348, float32:49141, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3666.5, float32:6875.69, float32:5277.99, bool:false, float32:64399, float32:49910, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3666.98, float32:6888.84, float32:5333.4, bool:false, float32:64439, float32:50336, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3667.08, float32:6899.99, float32:5383.45, bool:false, float32:64465, float32:51000, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3666.85, float32:6910.47, float32:5433.62, bool:false, float32:64471, float32:51256, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3665.87, float32:6925.43, float32:5511.42, bool:false, float32:64472, float32:51729, float32:4592, float32:0, float32:0, float32:0]
